,Shipment_ID,Origin_Country,Destination_Country,Shipment_Date,Estimated_Arrival_Date,Actual_Arrival_Date,Transport_Mode,Carrier_Name,Route_Code,Declared_Value_USD,Tariff_Category,Route_Risk_Index,Inspection_Type,Delay_Reason,Customs_Delay_Days,Risk_Flag,Origin_City,Destination_City,Weight
55,SHP000056,UAE,South Africa,2019-03-12,2019-03-19,2019-03-19,Road,Carrier_15,R514,3532.4,Medium,0.64,Document,Incorrect HS code classification,0,0,Ras Al Khaimah,Pretoria,618
56,SHP000057,South Africa,Japan,2023-10-09,2023-11-06,2023-11-06,Road,Carrier_23,R819,39964.12,Low,0.08,Both,High-risk commodity flagged for inspection,0,0,Durban,Kyoto,484
57,SHP000058,Japan,India,2021-01-28,2021-02-08,2021-02-10,Air,Carrier_48,R595,2242.19,Low,0.7,Document,High-risk commodity flagged for inspection,2,1,Kyoto,Kolkata,574
58,SHP000059,Japan,USA,2022-05-23,2022-05-28,2022-05-28,Air,Carrier_18,R146,8665.42,Medium,0.71,Physical,Routine customs clearance without issue,0,0,Osaka,Houston,923
59,SHP000060,China,Japan,2024-04-06,2024-04-26,2024-04-26,Rail,Carrier_22,R288,33349.67,Medium,0.74,Document,"Incomplete paperwork, requires manual review",0,0,Chengdu,Osaka,144
60,SHP000061,Australia,China,2020-09-13,2020-09-22,2020-09-30,Road,Carrier_6,R354,21560.4,Low,0.76,Both,Tariff dispute pending resolution,8,2,Sydney,Shenzhen,650
61,SHP000062,UAE,South Africa,2022-05-02,2022-05-25,2022-05-30,Rail,Carrier_20,R682,1705.28,Low,0.04,Both,High-risk commodity flagged for inspection,5,2,Sharjah,Port Elizabeth,370
62,SHP000063,Brazil,India,2020-10-05,2020-10-17,2020-10-20,Air,Carrier_36,R176,24234.52,High,0.47,Document,Random inspection selected,3,1,Fortaleza,Chennai,364
63,SHP000064,China,Brazil,2022-03-26,2022-04-22,2022-04-26,Road,Carrier_45,R980,9486.89,High,0.62,Both,"Suspected undervaluation, needs reassessment",4,2,Chengdu,Fortaleza,293
64,SHP000065,Germany,UAE,2020-04-15,2020-05-07,2020-05-07,Air,Carrier_42,R252,19356.02,Medium,0.86,Both,"Suspected undervaluation, needs reassessment",0,0,Cologne,Ras Al Khaimah,225
65,SHP000066,Australia,Brazil,2023-12-04,2023-12-12,2023-12-14,Rail,Carrier_45,R411,33275.99,Medium,0.64,Document,"Incomplete paperwork, requires manual review",2,1,Brisbane,Rio de Janeiro,288
66,SHP000067,Australia,China,2023-11-05,2023-12-03,2023-12-05,Road,Carrier_39,R356,47071.28,High,0.64,Physical,Routine customs clearance without issue,2,1,Melbourne,Guangzhou,761
67,SHP000068,Brazil,China,2020-12-18,2021-01-07,2021-01-07,Rail,Carrier_18,R285,23454.39,Medium,0.39,Document,Tariff dispute pending resolution,0,0,Sao Paulo,Chengdu,228
68,SHP000069,Japan,UK,2020-03-04,2020-03-14,2020-03-16,Road,Carrier_27,R810,4488.24,Low,0.02,Document,"Incomplete paperwork, requires manual review",2,1,Kyoto,London,64
69,SHP000070,Japan,Brazil,2022-08-17,2022-08-25,2022-08-25,Rail,Carrier_33,R944,40908.96,Low,0.7,Both,Random inspection selected,0,0,Yokohama,Salvador,708
70,SHP000071,Australia,UAE,2023-12-16,2024-01-14,2024-01-18,Sea,Carrier_14,R373,37018.48,Medium,0.18,Physical,"Incomplete paperwork, requires manual review",4,2,Sydney,Sharjah,641
71,SHP000072,Australia,Germany,2020-10-10,2020-10-24,2020-10-26,Sea,Carrier_36,R517,37780.12,High,0.41,Physical,Tariff dispute pending resolution,2,1,Melbourne,Frankfurt,862
72,SHP000073,Brazil,Australia,2022-01-24,2022-02-11,2022-02-16,Rail,Carrier_31,R349,17699.37,High,0.43,Both,High-risk commodity flagged for inspection,5,2,Salvador,Melbourne,205
73,SHP000074,India,Japan,2023-08-27,2023-09-11,2023-09-11,Road,Carrier_1,R389,37792.68,Medium,0.9,Physical,Tariff dispute pending resolution,0,0,Delhi,Nagoya,564
74,SHP000075,South Africa,UAE,2022-11-14,2022-11-29,2022-12-04,Rail,Carrier_30,R429,16682.43,Medium,0.01,Physical,Random inspection selected,5,2,Durban,Sharjah,345
75,SHP000076,UAE,UK,2023-05-01,2023-05-27,2023-05-29,Air,Carrier_32,R137,45363.72,Medium,0.95,Physical,Incorrect HS code classification,2,1,Ras Al Khaimah,Birmingham,297
76,SHP000077,UAE,China,2020-08-13,2020-08-31,2020-09-02,Air,Carrier_5,R580,31960.02,High,0.33,Physical,Routine customs clearance without issue,2,1,Dubai,Chengdu,622
77,SHP000078,Japan,Australia,2023-04-06,2023-04-21,2023-04-24,Rail,Carrier_35,R136,33953.4,Medium,0.79,Physical,"Suspected undervaluation, needs reassessment",3,1,Tokyo,Perth,124
78,SHP000079,India,UAE,2020-02-08,2020-03-08,2020-03-09,Sea,Carrier_29,R270,3820.38,Low,0.89,Document,Random inspection selected,1,1,Kolkata,Ajman,981
79,SHP000080,Japan,UAE,2020-08-19,2020-08-31,2020-08-31,Rail,Carrier_37,R798,18194.84,Medium,0.76,Both,"Suspected undervaluation, needs reassessment",0,0,Kyoto,Abu Dhabi,793
80,SHP000081,Germany,South Africa,2020-08-09,2020-08-21,2020-08-21,Rail,Carrier_41,R360,5121.23,Medium,0.82,Both,Incorrect HS code classification,0,0,Munich,Pretoria,252
81,SHP000082,USA,India,2023-12-15,2023-12-31,2024-01-02,Road,Carrier_41,R534,35605.87,Medium,0.99,Document,"Incomplete paperwork, requires manual review",2,1,Chicago,Kolkata,625
82,SHP000083,Germany,UAE,2023-01-10,2023-02-02,2023-02-02,Road,Carrier_45,R402,40827.18,High,0.75,Both,"Incomplete paperwork, requires manual review",0,0,Munich,Abu Dhabi,425
83,SHP000084,Australia,UAE,2022-03-18,2022-04-16,2022-04-16,Air,Carrier_39,R921,19436.72,Medium,0.56,Both,Routine customs clearance without issue,0,0,Adelaide,Ajman,548
84,SHP000085,USA,India,2019-06-11,2019-06-25,2019-06-29,Rail,Carrier_3,R693,6448.68,High,0.47,Document,High-risk commodity flagged for inspection,4,2,Los Angeles,Delhi,96
85,SHP000086,Germany,USA,2023-02-07,2023-02-28,2023-03-01,Road,Carrier_11,R363,3758.86,Low,0.65,Physical,Routine customs clearance without issue,1,1,Munich,Los Angeles,804
86,SHP000087,Germany,UAE,2023-02-07,2023-02-14,2023-02-17,Rail,Carrier_1,R370,48146.45,High,0.87,Both,Random inspection selected,3,1,Munich,Ras Al Khaimah,225
87,SHP000088,Australia,UK,2023-03-02,2023-03-10,2023-03-16,Air,Carrier_31,R125,11956.2,Low,0.97,Both,Routine customs clearance without issue,6,2,Sydney,Edinburgh,554
88,SHP000089,UAE,Brazil,2023-07-31,2023-08-08,2023-08-10,Air,Carrier_3,R138,4616.03,High,0.52,Physical,Tariff dispute pending resolution,2,1,Ras Al Khaimah,Fortaleza,583
89,SHP000090,UAE,Japan,2023-09-13,2023-10-06,2023-10-08,Air,Carrier_27,R770,31840.53,Low,0.63,Both,Random inspection selected,2,1,Abu Dhabi,Nagoya,703
90,SHP000091,Germany,South Africa,2023-12-27,2024-01-08,2024-01-12,Road,Carrier_7,R802,3226.87,Medium,0.89,Document,High-risk commodity flagged for inspection,4,2,Hamburg,Pretoria,874
91,SHP000092,India,South Africa,2020-01-11,2020-02-06,2020-02-08,Air,Carrier_42,R754,23327.18,Low,0.19,Both,High-risk commodity flagged for inspection,2,1,Bangalore,Port Elizabeth,876
92,SHP000093,India,Australia,2021-04-28,2021-05-21,2021-05-21,Air,Carrier_15,R436,29599.15,High,0.99,Document,Routine customs clearance without issue,0,0,Chennai,Perth,581
93,SHP000094,USA,India,2019-04-16,2019-04-25,2019-04-25,Sea,Carrier_23,R908,35209.92,Low,0.81,Physical,"Suspected undervaluation, needs reassessment",0,0,Los Angeles,Kolkata,102
94,SHP000095,UK,Australia,2020-04-10,2020-05-08,2020-05-08,Sea,Carrier_31,R559,45635.43,High,0.73,Physical,Incorrect HS code classification,0,0,Liverpool,Brisbane,966
95,SHP000096,China,Australia,2022-05-20,2022-06-08,2022-06-11,Sea,Carrier_4,R590,31057.34,High,0.87,Document,"Incomplete paperwork, requires manual review",3,1,Guangzhou,Melbourne,204
96,SHP000097,India,UK,2020-08-30,2020-09-06,2020-09-11,Air,Carrier_18,R739,49376.53,High,0.38,Document,Tariff dispute pending resolution,5,2,Chennai,Liverpool,326
97,SHP000098,South Africa,UK,2020-02-11,2020-03-12,2020-03-12,Sea,Carrier_42,R766,48525.81,Medium,0.47,Document,Routine customs clearance without issue,0,0,Johannesburg,Liverpool,596
98,SHP000099,UAE,UK,2023-08-31,2023-09-28,2023-09-28,Sea,Carrier_21,R537,3762.4,Medium,1.0,Physical,"Incomplete paperwork, requires manual review",0,0,Ajman,Edinburgh,406
99,SHP000100,India,USA,2023-11-04,2023-11-12,2023-11-12,Road,Carrier_9,R669,49835.21,Medium,0.94,Both,Routine customs clearance without issue,0,0,Bangalore,Los Angeles,658
100,SHP000101,UK,China,2022-03-24,2022-04-17,2022-04-17,Road,Carrier_23,R206,23076.66,Medium,0.61,Physical,Routine customs clearance without issue,0,0,London,Chengdu,645
101,SHP000102,India,UK,2023-02-14,2023-02-22,2023-02-25,Road,Carrier_37,R331,12203.5,Medium,0.36,Physical,High-risk commodity flagged for inspection,3,1,Mumbai,Manchester,778
102,SHP000103,Brazil,Japan,2022-10-23,2022-11-08,2022-11-10,Sea,Carrier_12,R990,26495.08,High,0.85,Physical,"Incomplete paperwork, requires manual review",2,1,Fortaleza,Yokohama,799
103,SHP000104,South Africa,Germany,2023-03-21,2023-04-08,2023-04-08,Rail,Carrier_22,R261,28043.44,Low,0.4,Physical,High-risk commodity flagged for inspection,0,0,Port Elizabeth,Munich,183
104,SHP000105,USA,China,2019-12-01,2019-12-14,2019-12-17,Rail,Carrier_43,R534,35499.91,High,0.01,Physical,Random inspection selected,3,1,Chicago,Guangzhou,842
105,SHP000106,UK,India,2022-03-06,2022-04-01,2022-04-07,Rail,Carrier_34,R783,18178.79,Low,0.44,Physical,High-risk commodity flagged for inspection,6,2,London,Bangalore,184
106,SHP000107,Brazil,Germany,2020-07-16,2020-08-14,2020-08-15,Road,Carrier_19,R435,26185.48,Low,0.62,Physical,Tariff dispute pending resolution,1,1,Fortaleza,Berlin,157
107,SHP000108,South Africa,Germany,2024-08-11,2024-09-02,2024-09-06,Road,Carrier_5,R506,43255.82,Low,0.93,Document,Incorrect HS code classification,4,2,Durban,Frankfurt,357
108,SHP000109,UK,UAE,2023-09-07,2023-09-21,2023-09-21,Sea,Carrier_26,R121,23497.65,Medium,0.33,Physical,Tariff dispute pending resolution,0,0,Liverpool,Sharjah,877
109,SHP000110,India,Brazil,2023-11-20,2023-12-13,2023-12-14,Rail,Carrier_34,R180,32036.64,Low,0.13,Physical,Incorrect HS code classification,1,1,Mumbai,Rio de Janeiro,733
110,SHP000111,India,Australia,2024-09-19,2024-09-30,2024-10-03,Road,Carrier_23,R844,9912.12,Medium,0.47,Physical,High-risk commodity flagged for inspection,3,1,Mumbai,Melbourne,848
111,SHP000112,Australia,USA,2019-11-05,2019-11-15,2019-11-15,Rail,Carrier_30,R872,33710.33,High,0.04,Both,Random inspection selected,0,0,Brisbane,Phoenix,193
112,SHP000113,Japan,USA,2023-12-07,2023-12-14,2023-12-14,Rail,Carrier_29,R746,9673.51,High,0.46,Physical,Random inspection selected,0,0,Kyoto,Phoenix,60
113,SHP000114,UAE,South Africa,2019-06-04,2019-06-10,2019-06-10,Road,Carrier_19,R178,11110.35,Medium,0.69,Document,Incorrect HS code classification,0,0,Sharjah,Port Elizabeth,401
114,SHP000115,South Africa,China,2024-01-17,2024-02-16,2024-02-16,Air,Carrier_21,R719,43805.35,Low,0.28,Document,"Suspected undervaluation, needs reassessment",0,0,Johannesburg,Guangzhou,412
115,SHP000116,India,Australia,2020-12-07,2020-12-13,2020-12-15,Air,Carrier_46,R548,40503.86,Medium,0.21,Document,Random inspection selected,2,1,Delhi,Sydney,375
116,SHP000117,UK,UAE,2022-10-17,2022-11-12,2022-11-13,Sea,Carrier_41,R762,31294.48,High,0.75,Document,Random inspection selected,1,1,Birmingham,Dubai,746
117,SHP000118,Brazil,USA,2022-09-27,2022-10-04,2022-10-04,Air,Carrier_23,R417,2797.48,Low,0.9,Document,Incorrect HS code classification,0,0,Salvador,Phoenix,949
118,SHP000119,UK,Japan,2020-06-07,2020-07-03,2020-07-14,Sea,Carrier_42,R786,6251.43,Medium,0.24,Physical,High-risk commodity flagged for inspection,11,2,Edinburgh,Nagoya,371
119,SHP000120,Japan,South Africa,2021-02-25,2021-03-09,2021-03-14,Air,Carrier_10,R179,14192.92,High,0.32,Physical,"Suspected undervaluation, needs reassessment",5,2,Osaka,Cape Town,259
120,SHP000121,Japan,USA,2023-03-24,2023-04-02,2023-04-02,Air,Carrier_12,R951,6868.34,Medium,0.68,Both,"Suspected undervaluation, needs reassessment",0,0,Yokohama,Phoenix,110
121,SHP000122,Germany,South Africa,2022-03-13,2022-04-11,2022-04-11,Rail,Carrier_15,R646,39669.39,High,0.54,Both,Tariff dispute pending resolution,0,0,Berlin,Cape Town,601
122,SHP000123,UAE,Brazil,2023-04-14,2023-05-05,2023-05-11,Rail,Carrier_11,R936,22151.32,Medium,0.36,Document,Incorrect HS code classification,6,2,Sharjah,Salvador,774
123,SHP000124,India,Australia,2020-05-25,2020-06-08,2020-06-11,Sea,Carrier_49,R264,32649.94,Low,0.99,Physical,Routine customs clearance without issue,3,1,Chennai,Melbourne,538
124,SHP000125,UAE,Japan,2019-04-20,2019-05-08,2019-05-08,Sea,Carrier_26,R614,5987.34,Low,0.16,Physical,Random inspection selected,0,0,Ajman,Yokohama,625
125,SHP000126,India,UK,2020-08-21,2020-08-30,2020-09-02,Sea,Carrier_19,R949,10141.78,Low,0.9,Physical,"Incomplete paperwork, requires manual review",3,1,Mumbai,Manchester,35
126,SHP000127,Brazil,Germany,2020-09-04,2020-09-26,2020-09-28,Rail,Carrier_8,R894,21109.44,Low,0.4,Document,"Suspected undervaluation, needs reassessment",2,1,Fortaleza,Frankfurt,989
127,SHP000128,Australia,UAE,2019-09-15,2019-09-23,2019-09-23,Rail,Carrier_39,R648,48504.05,Low,0.26,Document,Tariff dispute pending resolution,0,0,Adelaide,Sharjah,728
128,SHP000129,China,UK,2021-09-12,2021-10-05,2021-10-08,Rail,Carrier_12,R780,46539.42,High,0.28,Both,Incorrect HS code classification,3,1,Chengdu,Manchester,50
129,SHP000130,South Africa,Australia,2019-03-25,2019-04-11,2019-04-11,Rail,Carrier_3,R750,38705.15,Medium,0.43,Physical,Random inspection selected,0,0,Pretoria,Melbourne,571
130,SHP000131,Germany,India,2022-09-23,2022-10-02,2022-10-02,Sea,Carrier_23,R659,6627.0,Medium,0.58,Both,High-risk commodity flagged for inspection,0,0,Berlin,Delhi,145
131,SHP000132,USA,India,2024-02-18,2024-02-24,2024-02-26,Road,Carrier_13,R144,8563.77,Medium,0.05,Both,Tariff dispute pending resolution,2,1,Houston,Kolkata,812
132,SHP000133,Brazil,China,2021-02-21,2021-03-07,2021-03-07,Road,Carrier_50,R148,4105.37,Medium,0.81,Document,"Suspected undervaluation, needs reassessment",0,0,Salvador,Beijing,653
133,SHP000134,UAE,UK,2022-10-20,2022-10-30,2022-10-30,Rail,Carrier_45,R609,13477.39,Medium,0.6,Physical,Tariff dispute pending resolution,0,0,Sharjah,Manchester,614
134,SHP000135,Australia,USA,2022-04-18,2022-05-03,2022-05-03,Sea,Carrier_6,R435,18094.55,High,0.97,Document,High-risk commodity flagged for inspection,0,0,Adelaide,Houston,768
135,SHP000136,UAE,Japan,2024-01-06,2024-01-12,2024-01-12,Road,Carrier_40,R545,7090.56,Medium,0.18,Document,Incorrect HS code classification,0,0,Ras Al Khaimah,Tokyo,996
136,SHP000137,USA,China,2020-08-07,2020-08-31,2020-09-02,Rail,Carrier_3,R229,29149.18,Medium,0.8,Both,"Incomplete paperwork, requires manual review",2,1,Phoenix,Shanghai,983
137,SHP000138,Australia,USA,2024-01-17,2024-02-02,2024-02-03,Road,Carrier_29,R881,10879.74,Medium,0.81,Both,Random inspection selected,1,1,Adelaide,Los Angeles,633
138,SHP000139,Germany,India,2019-04-17,2019-05-15,2019-05-17,Air,Carrier_32,R630,18582.69,Medium,0.82,Physical,Incorrect HS code classification,2,1,Munich,Kolkata,603
139,SHP000140,Brazil,South Africa,2021-03-30,2021-04-07,2021-04-15,Air,Carrier_5,R562,22517.61,High,0.3,Document,"Suspected undervaluation, needs reassessment",8,2,Sao Paulo,Cape Town,949
140,SHP000141,India,Australia,2022-04-04,2022-04-18,2022-04-20,Air,Carrier_46,R826,12378.42,Low,0.54,Physical,Routine customs clearance without issue,2,1,Bangalore,Perth,81
